รหัสเพลย์ลิสต์,รหัสช่อง,เวลาที่สร้าง,เวลาที่อัปเดต,ชื่อ,คำอธิบาย,ระดับการมองเห็น
PLNFK4dgXAIf_p0Fq1uPsEHxjAmvHUeAKB,UCO7ZhQJx-8ehfnZbgtOYZrA,2016-12-19 13:11:16 UTC,2020-12-15 17:01:04 UTC,NCS - Off vocal,,ไม่เป็นสาธารณะ


รหัสวิดีโอ,เวลาที่เพิ่ม
mf9UlOVMXLE,2016-12-19 13:11:16 UTC
fzNMd3Tu1Zw,2016-12-19 13:19:53 UTC
p7ZsBPK656s,2016-12-19 13:27:00 UTC
4jcnB30rRqM,2016-12-20 01:14:55 UTC
E78H06SoynE,2016-12-20 01:15:36 UTC
CR_TAFrOX-A,2016-12-20 01:16:32 UTC
blA7epJJaR4,2017-12-25 14:50:07 UTC
uQp6wqZPEyg,2017-12-29 15:07:54 UTC
7eZIbmq5Jiw,2018-01-03 14:36:42 UTC
Jl7keidAvpU,2018-01-10 16:25:05 UTC
sN9jC-_j3zc,2018-01-19 06:25:30 UTC
E3pAlmG4Gow,2018-01-19 06:48:00 UTC
sEh3LhwPjCQ,2018-01-21 03:43:34 UTC
A1p_1Pr2DmQ,2018-04-26 16:43:54 UTC
TyMMOhCqEFI,2018-04-27 03:52:03 UTC
gPE3XQVHMuA,2018-07-27 13:51:49 UTC
jP7wze4LzoA,2018-11-07 14:35:58 UTC
v0T9q628Uiw,2018-11-08 01:54:54 UTC
edxqZLhbtSQ,2018-11-21 14:50:16 UTC
VUSct_4afHo,2018-11-30 11:18:38 UTC
rxsR-Yo3NK4,2018-11-30 12:16:56 UTC
70SC65zgojI,2018-12-01 11:22:10 UTC
H1B_RVrvWUk,2018-12-01 11:22:32 UTC
uZJKOiswbAQ,2018-12-01 11:43:05 UTC
ZBCNDd4Uwn4,2018-12-04 14:07:03 UTC
A7Csu_wC91E,2018-12-04 15:29:51 UTC
7PM1iCDpTCA,2018-12-04 16:03:21 UTC
ubgJ3s5kLc0,2019-01-14 10:51:43 UTC
c7eUQl0_4xM,2019-01-16 12:52:19 UTC
67ExWk1mxmY,2019-10-14 14:28:57 UTC
nMbx8EurE0g,2020-02-15 11:22:02 UTC
7gYG95NG1YA,2020-04-09 23:44:55 UTC
FB9y4s6f3fw,2020-04-27 12:50:23 UTC
9EOavqZG6mA,2020-05-15 02:00:31 UTC
vUlQsbgOAas,2020-08-19 08:02:13 UTC
dICTZ35hiEc,2020-10-12 10:04:02 UTC
1WP_YLn1D1c,2020-10-30 11:11:26 UTC
