รหัสเพลย์ลิสต์,รหัสช่อง,เวลาที่สร้าง,เวลาที่อัปเดต,ชื่อ,คำอธิบาย,ระดับการมองเห็น
PLNFK4dgXAIf9bRVrStD5ScI5bdLlpKkex,UCO7ZhQJx-8ehfnZbgtOYZrA,2018-09-24 13:17:59 UTC,2020-12-15 17:00:59 UTC,Sawano-Vocal,,ส่วนบุคคล


รหัสวิดีโอ,เวลาที่เพิ่ม
OqoViazpzyc,2018-09-24 13:17:59 UTC
xpd1uPNVfOY,2018-09-24 13:19:38 UTC
YTFlLYbEvl4,2018-09-24 16:38:53 UTC
BAbleQgr494,2018-11-30 15:19:11 UTC
CQ1zI7TS70Q,2018-12-22 10:29:42 UTC
0snEWLSVqmI,2019-12-07 08:47:29 UTC
XyrXDUXheA0,2019-12-08 11:10:20 UTC
JTwJ21UIZIE,2020-02-21 08:42:54 UTC
JHZy3lCxDq8,2020-03-26 04:21:10 UTC
QTaY6en3mPI,2020-03-28 16:01:56 UTC
