title,titleUrl,time,channelName,channelUrl
Hiroyuki Sawano / Project【emU】「Inferno＜×PT＞」,https://www.youtube.com/watch?v=c49zedQ1eNM,2020-12-28T13:57:19.737Z,澤野弘之 / SawanoHiroyuki[nZk],https://www.youtube.com/channel/UCpT4syVopfBl2bATVfAt65g
เรียน Game Design กับ Genshin Impact,https://www.youtube.com/watch?v=3zIpwQQdBmY,2020-12-27T13:26:49.854Z,9arm,https://www.youtube.com/channel/UCoiEtD4v1qMAqHV5MDI5Qpg
LIVE - DayZ #2 - วิบากกรรมหาเพื่อนภาค2,https://www.youtube.com/watch?v=eosGmTJZZZ8,2020-12-27T13:22:10.693Z,HEARTROCKER,https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ
esport ในร่างกฏหมายและความชิบหายของงานวิจัย,https://www.youtube.com/watch?v=t1ZpJzlH6QE,2020-12-27T13:15:59.318Z,9arm,https://www.youtube.com/channel/UCoiEtD4v1qMAqHV5MDI5Qpg
ปืนคู่หูหมีดูสูสีหูหมีหูหมู - FreeFire สไตล์โบ๊ะบ๊ะ #6,https://www.youtube.com/watch?v=CNo1z1MScbE,2020-12-27T11:09:01.053Z,HEARTROCKER,https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ
宅REC-nZk「Barricades ＜MODv＞」／ SawanoHiroyuki[nZk]:Yosh (Survive Said The Prophet),https://www.youtube.com/watch?v=UoxLPBjXM18,2020-12-27T02:04:25.326Z,澤野弘之 / SawanoHiroyuki[nZk],https://www.youtube.com/channel/UCbJM_Y06iuUOl3hVPqYcvng
Just Another Hero,https://www.youtube.com/watch?v=qmxqc5hcEXY,2020-12-27T02:00:58.488Z,Steven McNair - Topic,https://www.youtube.com/channel/UCjlo9dllYgr8CPMf3Aaqndw
Barricades (BARRichestra),https://www.youtube.com/watch?v=HH9eYJR4C8k,2020-12-27T01:56:54.775Z,Samuel Kim - Topic,https://www.youtube.com/channel/UC5LMr1oW9sZp5DVK9xr_k9A
Call of Silence x Zero Eclipse,https://www.youtube.com/watch?v=CGgPHpOYpZ4,2020-12-27T01:52:20.072Z,Samuel Kim - Topic,https://www.youtube.com/channel/UC5LMr1oW9sZp5DVK9xr_k9A
Attack on Titan Season 4 Episode 1 OST | Reiner Transformation x Battle Theme,https://www.youtube.com/watch?v=2OjzdpunQcc,2020-12-27T01:46:48.093Z,Samuel Kim Music,https://www.youtube.com/channel/UCuoKuTCQ9dmPIgOgyLm9HgQ
Apple Seed / YOUSEEBIGGIRL【Orchestral Cover】 [Mike Reed IX]  Attack on Titan Season 4,https://www.youtube.com/watch?v=UAIm8WKox6Q,2020-12-27T01:44:48.199Z,Mike Reed IX,https://www.youtube.com/channel/UCWItmGMZF9kfNAroTLHYqfQ
Hiroyuki Sawano: BEST OF VOCAL WORKS | Epic Anime Music | 「澤野弘之」 BEST OF SOUNDTRACK,https://www.youtube.com/watch?v=no8ydjSC194,2020-12-26T14:25:51.694Z,[UN///CHilD],https://www.youtube.com/channel/UC38-UsT16KcCDR0kXbXxJzA
宅REC-nZk「Tranquility ＜MODv＞」／ SawanoHiroyuki[nZk]:Anly,https://www.youtube.com/watch?v=NjzOcVNdqrk,2020-12-26T14:20:57.061Z,澤野弘之 / SawanoHiroyuki[nZk],https://www.youtube.com/channel/UCbJM_Y06iuUOl3hVPqYcvng
PROMARE 1st Anniversary × 宅REC-nZk「NEXUS ＜PODv＞」／SawanoHiroyuki[nZk]:Laco,https://www.youtube.com/watch?v=rrFXEr1pHqA,2020-12-26T14:16:46.352Z,澤野弘之 / SawanoHiroyuki[nZk],https://www.youtube.com/channel/UCbJM_Y06iuUOl3hVPqYcvng
Attack On Titan / Shingeki No Kyojin OST - E.M.A,https://www.youtube.com/watch?v=U5HBuZCc3us,2020-12-26T14:10:44.274Z,FakeNinja,https://www.youtube.com/channel/UCIGTPdVyMSulKhyBdMF5lxQ
Just Another Hero,https://www.youtube.com/watch?v=qmxqc5hcEXY,2020-12-26T14:07:18.022Z,Steven McNair - Topic,https://www.youtube.com/channel/UCjlo9dllYgr8CPMf3Aaqndw
Λsʜᴇs＜MODv＞ (feat. Gemie) - Promare Rearrange CD - Hiroyuki Sawano,https://www.youtube.com/watch?v=h54-Gwh5rqU,2020-12-26T13:14:57.816Z,Max Galactica,https://www.youtube.com/channel/UCVlccgb8OMMUQPghZhRZtwg
RX-0,https://www.youtube.com/watch?v=FdO-RWm9ufw,2020-12-26T13:12:03.308Z,Hiroyuki Sawano - Topic,https://www.youtube.com/channel/UCy3Lx1fNl4XnxleZBJK_PXw
Chaos Drifters,https://www.youtube.com/watch?v=ry28KUFSSCE,2020-12-26T13:08:13.748Z,Hiroyuki Sawano - Topic,https://www.youtube.com/channel/UCy3Lx1fNl4XnxleZBJK_PXw
Hiroyuki Sawano – 「ashes」 “Suite” [vocal: gemie] | Epic Anime Music,https://www.youtube.com/watch?v=nxDisb92PmE,2020-12-26T12:59:07.815Z,[UN///CHilD],https://www.youtube.com/channel/UC38-UsT16KcCDR0kXbXxJzA
REMEMBER,https://www.youtube.com/watch?v=ALajnmT-2Gk,2020-12-26T12:53:57.969Z,Hiroyuki Sawano - Topic,https://www.youtube.com/channel/UCy3Lx1fNl4XnxleZBJK_PXw
宅REC-nZk「Barricades ＜MODv＞」／ SawanoHiroyuki[nZk]:Yosh (Survive Said The Prophet),https://www.youtube.com/watch?v=UoxLPBjXM18,2020-12-26T12:50:03.589Z,澤野弘之 / SawanoHiroyuki[nZk],https://www.youtube.com/channel/UCbJM_Y06iuUOl3hVPqYcvng
K Return Of Kings OST - Assembly,https://www.youtube.com/watch?v=n4yUyAILgLk,2020-12-26T04:34:02.636Z,Rio 17 Channel,https://www.youtube.com/channel/UCRvoHf5UJDItJErC_OXKeSA
Kuroko no Basket - OST 26 Sessen,https://www.youtube.com/watch?v=mEyUNptWTg0,2020-12-26T04:33:30.825Z,Amar Sabotic,https://www.youtube.com/channel/UCPZGfq2XBO_i0iSICCyNmew
06 Kokoro no Yoridokoro - MY HERO ACADEMIA 2nd OST 2,https://www.youtube.com/watch?v=86xjZ0HVO3s,2020-12-26T04:32:21.894Z,alpha doge,https://www.youtube.com/channel/UCbER561CVM9-s6MyL_kP1IQ
Darling in the Franxx OST - 07 Counterattack,https://www.youtube.com/watch?v=wMUcybfsuVA,2020-12-26T04:32:10.974Z,big meme,https://www.youtube.com/channel/UC2Tk6gMZc0KP8GVQw_QLbmA
Darling in the Franxx OST - 03 Odds and ends,https://www.youtube.com/watch?v=DekOlc4xaeg,2020-12-26T04:31:58.650Z,big meme,https://www.youtube.com/channel/UC2Tk6gMZc0KP8GVQw_QLbmA
Darling in the Franxx OST - 08 Operation,https://www.youtube.com/watch?v=uCW2QgzCMhQ,2020-12-26T04:31:40.267Z,big meme,https://www.youtube.com/channel/UC2Tk6gMZc0KP8GVQw_QLbmA
Darling in the Franxx OST - 15 Clarity,https://www.youtube.com/watch?v=zERwK8T2mq4,2020-12-26T04:30:04.842Z,big meme,https://www.youtube.com/channel/UC2Tk6gMZc0KP8GVQw_QLbmA
DARLING in the FRANXX OST - CODE:016,https://www.youtube.com/watch?v=fmr2lbb_L1A,2020-12-26T04:29:40.489Z,Hir02 Music,https://www.youtube.com/channel/UCS7HUyP9USSFcmqAg-EEbsA
FUSE/Asami Tachibana/DARLING in the FRANXX ORIGINAL SOUNDTRACK vol.2,https://www.youtube.com/watch?v=q0Xg1emBzI8,2020-12-26T04:29:08.181Z,Hatsune Miku Senpai,https://www.youtube.com/channel/UC0g0sudBI9BOR3V8jwERSEw
Mahouka Koukou no Rettousei CD1: 09 election,https://www.youtube.com/watch?v=eE7I8o24LKE,2020-12-26T04:28:51.530Z,SkySound Album/OST,https://www.youtube.com/channel/UCE039smDVcUeX0-oVS5NPow
【Kaguya-sama wa Kokurasetai OST vol. 2】09. Suki na Hito (好きな人),https://www.youtube.com/watch?v=JMYuLJj9MIQ,2020-12-26T04:28:24.816Z,毛利 蘭,https://www.youtube.com/channel/UC6GAxHXawzUgtzZ00_1LdUw
Youkoso jitsuryoku ost - Youkoso jitsuryoku (Main Theme) Version 2,https://www.youtube.com/watch?v=m2XX0tuZmF8,2020-12-26T04:27:35.039Z,Em-Ost II,https://www.youtube.com/channel/UCwBTeZggMDz4Jb63ExlKp9A
We'll Go All-Out to Stop You!,https://www.youtube.com/watch?v=CQBtFqZqyFg,2020-12-26T04:19:24.772Z,Yuki Hayashi - Topic,https://www.youtube.com/channel/UCQ6eto8FjpD7mut_F23ctpw
The Spear and Shield Match - My Hero Academia Season 4 OST - Yuki Hayashi,https://www.youtube.com/watch?v=HpgCGNKwFSw,2020-12-26T04:19:11.458Z,yduR,https://www.youtube.com/channel/UCFPfPLv_GZqs_V1arduH0VA
Combat License! - My Hero Academia Season 3 OST - Yuki Hayashi,https://www.youtube.com/watch?v=sY8mXLKjg0o,2020-12-26T04:18:45.658Z,yduR,https://www.youtube.com/channel/UCFPfPLv_GZqs_V1arduH0VA
Attack on Titan Season 4 Episode 1 OST | Reiner Transformation x Battle Theme,https://www.youtube.com/watch?v=2OjzdpunQcc,2020-12-25T15:43:33.892Z,Samuel Kim Music,https://www.youtube.com/channel/UCuoKuTCQ9dmPIgOgyLm9HgQ
Attack on Titan Season 4 Episode 3 OST | Reiner's Past x Apple Seed | EPIC EMOTIONAL,https://www.youtube.com/watch?v=SxxPweqKpLQ,2020-12-25T15:43:21.767Z,Samuel Kim Music,https://www.youtube.com/channel/UCuoKuTCQ9dmPIgOgyLm9HgQ
Attack on Titan Season 4 OST |  Declaration of War x Tybur's Speech,https://www.youtube.com/watch?v=IVgUIXwmfBQ,2020-12-25T15:43:17.672Z,Samuel Kim Music,https://www.youtube.com/channel/UCuoKuTCQ9dmPIgOgyLm9HgQ
Hello World - Logistic Regression,https://www.youtube.com/watch?v=lYdZyuNe7z0,2020-12-25T14:28:29.277Z,DataRockie,https://www.youtube.com/channel/UC8kSj8rxbF45_UcjfnIQCfg
宅REC-nZk「Barricades ＜MODv＞」／ SawanoHiroyuki[nZk]:Yosh (Survive Said The Prophet),https://www.youtube.com/watch?v=UoxLPBjXM18,2020-12-25T14:09:23.250Z,澤野弘之 / SawanoHiroyuki[nZk],https://www.youtube.com/channel/UCbJM_Y06iuUOl3hVPqYcvng
"""NEXUS"" - Sawano Hiroyuki[nZk] - ｢Feat.Laco｣ - ｢LIVE Best of Vocal Works [nZk]｣",https://www.youtube.com/watch?v=-g6znkTwxIM,2020-12-25T14:09:18.204Z,AleSempai 14,https://www.youtube.com/channel/UCp1sH0Cz3lNKdMwNPLTHMEg
PROMARE 1st Anniversary × 宅REC-nZk「NEXUS ＜PODv＞」／SawanoHiroyuki[nZk]:Laco,https://www.youtube.com/watch?v=rrFXEr1pHqA,2020-12-25T14:01:12.705Z,澤野弘之 / SawanoHiroyuki[nZk],https://www.youtube.com/channel/UCbJM_Y06iuUOl3hVPqYcvng
Attack On Titan Season 2 OST ~ [AOTs2M他3/ Her heart still beating],https://www.youtube.com/watch?v=1RiSQJr9gJE,2020-12-25T13:58:55.714Z,Arestame Sound,https://www.youtube.com/channel/UC2fIWrDuNa-BAQSCGVRr7dQ
1-Hour | Hiroyuki Sawano: BEST OF SOUNDTRACK | Epic Music MiX | ~ Best OST Collection ~,https://www.youtube.com/watch?v=nhcamX3lkPc,2020-12-25T12:57:08.709Z,[UN///CHilD],https://www.youtube.com/channel/UC38-UsT16KcCDR0kXbXxJzA
PIROMARE - Promare OST - Hiroyuki Sawano,https://www.youtube.com/watch?v=GtaoJkMfEUc,2020-12-25T12:55:26.532Z,Max Galactica,https://www.youtube.com/channel/UCVlccgb8OMMUQPghZhRZtwg
